ID,Autor,autor_codificado
8476,Marcus Liu,21
10294,Lily Wang,17
3608,Nora Patel,26
10142,Avery Kim,4
875,Daniel Patel,8
6903,Noah Khan,25
7341,Victoria Singh,31
95,Owen Rodriguez,28
4869,Isabella Nguyen,15
2909,Ella Sharma,10
1357,Ethan Hayes,12
988,Amelia Rivera,1
7041,Alexander Lee,0
7623,Daniel Patel,8
1571,Lily Wang,17
4739,Madison Wong,20
7737,Lucas Kim,19
8716,Nora Patel,26
3304,Alexander Lee,0
3078,Owen Rodriguez,28
2517,Desconocido,9
10348,Lucas Kim,19
778,Grace Liu,14
3300,Emily Parker,11
6155,Desconocido,9
636,Madison Wong,20
755,Madison Wong,20
626,Avery Kim,4
691,Desconocido,9
5743,Victoria Singh,31
1787,Ella Sharma,10
7808,Jacob Gupta,16
6484,Desconocido,9
7385,Xavier Chang,33
9016,Xavier Chang,33
9324,Samantha Chen,29
8983,Desconocido,9
8965,Jacob Gupta,16
5580,Sophie Chen,30
9757,Caleb Shah,6
1967,Desconocido,9
431,Lucas Kim,19
5955,Daniel Patel,8
7455,Gabriel Santos,13
5224,Aria Shah,2
7793,Desconocido,9
2777,Madison Wong,20
587,Chloe Nguyen,7
9403,Ava Murphy,3
5931,Logan Wong,18
3027,Lucas Kim,19
4377,Owen Rodriguez,28
5937,Desconocido,9
7277,William Kumar,32
5521,Desconocido,9
3627,Desconocido,9
9360,Victoria Singh,31
909,Aria Shah,2
6646,Olivia Kumar,27
1522,Mia Gupta,23
7540,Mia Gupta,23
1834,Grace Liu,14
1775,Mia Gupta,23
8212,Owen Rodriguez,28
3363,Victoria Singh,31
1084,Desconocido,9
4410,Marcus Liu,21
2669,Victoria Singh,31
3648,Noah Khan,25
6197,Ella Sharma,10
596,Gabriel Santos,13
6061,Lily Wang,17
1569,Desconocido,9
1178,Michael Sharma,24
9545,Lily Wang,17
1506,Alexander Lee,0
1641,Desconocido,9
139,Aria Shah,2
7744,Marcus Liu,21
8177,Isabella Nguyen,15
4134,Alexander Lee,0
917,Ava Murphy,3
3854,Avery Kim,4
7049,Jacob Gupta,16
3343,Lucas Kim,19
4348,Lucas Kim,19
3424,Xavier Chang,33
1718,Ethan Hayes,12
143,Maxwell Rivera,22
930,Lucas Kim,19
1661,Zoe Lee,34
7801,Maxwell Rivera,22
10232,Sophie Chen,30
1360,Lucas Kim,19
3635,Gabriel Santos,13
8290,Gabriel Santos,13
6227,Gabriel Santos,13
3255,Logan Wong,18
3177,Madison Wong,20
2832,Desconocido,9
4294,Madison Wong,20
5316,Mia Gupta,23
1524,Lucas Kim,19
2974,Sophie Chen,30
3364,Ava Murphy,3
4933,Mia Gupta,23
5530,Benjamin Singh,5
7680,Samantha Chen,29
10490,Maxwell Rivera,22
9413,Alexander Lee,0
4880,Xavier Chang,33
3512,Desconocido,9
8685,Chloe Nguyen,7
6763,Lucas Kim,19
7730,Samantha Chen,29
2546,Daniel Patel,8
2596,Zoe Lee,34
7362,Desconocido,9
7513,Ella Sharma,10
1475,Desconocido,9
2232,Emily Parker,11
6247,Samantha Chen,29
127,Maxwell Rivera,22
6025,Michael Sharma,24
10122,Daniel Patel,8
4979,Maxwell Rivera,22
1700,Nora Patel,26
9398,Aria Shah,2
10427,Madison Wong,20
7099,Nora Patel,26
4500,Xavier Chang,33
8013,Benjamin Singh,5
2199,Victoria Singh,31
4943,Avery Kim,4
10092,Desconocido,9
9121,Desconocido,9
8122,Michael Sharma,24
8988,Mia Gupta,23
2115,Logan Wong,18
8682,Marcus Liu,21
6350,Nora Patel,26
4597,Lucas Kim,19
7818,Avery Kim,4
677,Avery Kim,4
6408,Benjamin Singh,5
3004,Nora Patel,26
8357,Caleb Shah,6
10511,Marcus Liu,21
8322,Marcus Liu,21
6212,Benjamin Singh,5
172,Samantha Chen,29
6920,Owen Rodriguez,28
9468,Desconocido,9
6460,Desconocido,9
5202,Chloe Nguyen,7
6809,Lily Wang,17
2802,Desconocido,9
1329,Alexander Lee,0
4114,Olivia Kumar,27
6527,Lucas Kim,19
4354,Daniel Patel,8
3138,Noah Khan,25
9447,Logan Wong,18
7256,Ethan Hayes,12
421,Logan Wong,18
7228,Desconocido,9
2850,Desconocido,9
7628,Emily Parker,11
8918,Michael Sharma,24
51,Jacob Gupta,16
7711,Ethan Hayes,12
9295,Samantha Chen,29
7474,Samantha Chen,29
186,Desconocido,9
7661,Mia Gupta,23
7443,Alexander Lee,0
3700,Victoria Singh,31
8210,Alexander Lee,0
5040,Lily Wang,17
