id_compartir,compartir_tiempo,fecha_compartir,hora_compartir
2,852,2022-10-22,02:00:00
3,318,2022-09-25,09:00:00
5,177,2022-10-05,10:00:00
6,836,2022-10-22,02:00:00
7,770,2022-10-16,11:00:00
9,506,2022-10-05,21:00:00
10,175,2022-09-14,20:00:00
12,665,2022-10-05,00:00:00
14,632,2022-10-13,22:00:00
16,612,2022-10-01,03:00:00
17,448,2022-09-29,22:00:00
18,936,2022-11-06,23:00:00
19,466,2022-10-11,20:00:00
21,828,2022-11-11,12:00:00
22,904,2022-10-27,16:00:00
23,604,2022-11-01,20:00:00
24,701,2022-11-01,18:00:00
25,294,2022-10-03,02:00:00
26,705,2022-10-21,07:00:00
30,272,2022-09-19,18:00:00
34,921,2022-11-16,04:00:00
35,647,2022-10-12,22:00:00
36,554,2022-09-28,02:00:00
37,503,2022-10-07,17:00:00
39,734,2022-10-21,21:00:00
43,240,2022-10-16,05:00:00
44,134,2022-10-04,21:00:00
45,462,2022-10-14,04:00:00
46,248,2022-09-21,21:00:00
47,344,2022-10-02,18:00:00
49,275,2022-09-22,23:00:00
50,98,2022-10-11,00:00:00
51,678,2022-10-23,02:00:00
52,413,2022-09-30,06:00:00
54,8,2022-09-06,03:00:00
57,612,2022-10-31,23:00:00
59,517,2022-09-29,20:00:00
60,878,2022-10-08,01:00:00
62,250,2022-09-16,09:00:00
63,682,2022-11-06,22:00:00
68,29,2022-09-20,23:00:00
71,608,2022-10-03,17:00:00
72,494,2022-10-17,08:00:00
73,322,2022-10-09,15:00:00
74,415,2022-09-29,15:00:00
75,311,2022-10-16,07:00:00
76,292,2022-09-28,13:00:00
77,194,2022-10-05,05:00:00
78,64,2022-10-12,12:00:00
79,504,2022-10-17,15:00:00
80,229,2022-10-16,19:00:00
83,295,2022-10-14,01:00:00
84,169,2022-10-09,20:00:00
88,547,2022-10-15,06:00:00
90,739,2022-10-02,17:00:00
92,953,2022-10-17,07:00:00
93,47,2022-10-01,04:00:00
94,56,2022-10-12,05:00:00
95,769,2022-10-12,18:00:00
99,250,2022-09-14,17:00:00
100,401,2022-09-25,10:00:00
101,639,2022-11-05,23:00:00
102,685,2022-10-20,04:00:00
103,596,2022-10-16,10:00:00
105,105,2022-10-10,16:00:00
106,102,2022-09-08,07:00:00
107,438,2022-09-26,10:00:00
109,229,2022-09-22,04:00:00
110,37,2022-10-04,06:00:00
113,267,2022-10-03,13:00:00
117,630,2022-11-04,03:00:00
118,176,2022-10-13,16:00:00
119,227,2022-10-11,17:00:00
120,53,2022-09-29,16:00:00
