ID,Fuente,fuente_codificada
8476,The Daily Dispatch,22
10294,Insider Insights,12
3608,Daily Beacon,4
10142,The Pulse,27
875,Morning Star,14
6903,The Insight,25
7341,National Courier,15
95,The Daily Dispatch,22
4869,Global Gazette,10
2909,The Pulse,27
1357,World News Network,32
988,Times Today,29
7041,Evening Echo,7
7623,Central Times,1
1571,The Chronicle,21
4739,Frontline Times,9
7737,The Reporter,28
8716,Evening Echo,7
3304,The Insight,25
3078,Times Today,29
2517,Times Today,29
10348,Morning Star,14
778,The Observer,26
3300,Voice of the Nation,31
6155,The Chronicle,21
636,Star Sentinel,19
755,Urban News,30
626,Frontline Times,9
691,Daily Digest,5
5743,Global Gazette,10
1787,Echo News,6
7808,Echo News,6
6484,The Herald Tribune,23
7385,National Courier,15
9016,Global Gazette,10
9324,Evening Echo,7
8983,The Herald Tribune,23
8965,Daily Beacon,4
5580,Global Gazette,10
9757,Echo News,6
1967,Morning Star,14
431,Newsline,17
5955,Voice of the Nation,31
7455,Press Pulse,18
5224,City Times,3
7793,Echo News,6
2777,The Pulse,27
587,Times Today,29
9403,World News Network,32
5931,The Observer,26
3027,Times Today,29
4377,Newsline,17
5937,Metro News,13
7277,World News Network,32
5521,Echo News,6
3627,Press Pulse,18
9360,Central Times,1
909,Evening Echo,7
6646,Sunrise Chronicle,20
1522,Capital Gazette,0
7540,Echo News,6
1834,Express Tribune,8
1775,Global Gazette,10
8212,Evening Echo,7
3363,Frontline Times,9
1084,Sunrise Chronicle,20
4410,The Informer,24
2669,Frontline Times,9
3648,The Reporter,28
6197,Global Insight,11
596,Daily Digest,5
6061,City Times,3
1569,The Informer,24
1178,The Insight,25
9545,Morning Star,14
1506,The Daily Dispatch,22
1641,Daily Beacon,4
139,Urban News,30
7744,Insider Insights,12
8177,Urban News,30
4134,Voice of the Nation,31
917,Star Sentinel,19
3854,National Courier,15
7049,The Insight,25
3343,The Chronicle,21
4348,World News Network,32
3424,Daily Digest,5
1718,The Insight,25
143,Global Insight,11
930,Newsflash,16
1661,Express Tribune,8
7801,The Chronicle,21
10232,Metro News,13
1360,Evening Echo,7
3635,Global Insight,11
8290,The Chronicle,21
6227,Daily Digest,5
3255,Times Today,29
3177,Frontline Times,9
2832,Metro News,13
4294,The Informer,24
5316,The Daily Dispatch,22
1524,Star Sentinel,19
2974,Voice of the Nation,31
3364,Star Sentinel,19
4933,National Courier,15
5530,Voice of the Nation,31
7680,Newsflash,16
10490,Metro News,13
9413,City Times,3
4880,Daily Beacon,4
3512,Newsflash,16
8685,Insider Insights,12
6763,The Reporter,28
7730,The Insight,25
2546,Global Insight,11
2596,The Chronicle,21
7362,The Herald Tribune,23
7513,Sunrise Chronicle,20
1475,Morning Star,14
2232,The Observer,26
6247,Global Insight,11
127,Global Insight,11
6025,Metro News,13
10122,Frontline Times,9
4979,Star Sentinel,19
1700,City Beat,2
9398,National Courier,15
10427,Morning Star,14
7099,Global Gazette,10
4500,Voice of the Nation,31
8013,The Insight,25
2199,Urban News,30
4943,The Observer,26
10092,Capital Gazette,0
9121,The Reporter,28
8122,Metro News,13
8988,National Courier,15
2115,Voice of the Nation,31
8682,Daily Digest,5
6350,Urban News,30
4597,Daily Beacon,4
7818,Frontline Times,9
677,Daily Digest,5
6408,Express Tribune,8
3004,Sunrise Chronicle,20
8357,The Daily Dispatch,22
10511,National Courier,15
8322,Newsflash,16
6212,The Pulse,27
172,The Pulse,27
6920,Evening Echo,7
9468,Frontline Times,9
6460,The Chronicle,21
5202,Urban News,30
6809,National Courier,15
2802,Central Times,1
1329,Sunrise Chronicle,20
4114,Evening Echo,7
6527,The Reporter,28
4354,Newsline,17
3138,Echo News,6
9447,The Informer,24
7256,Sunrise Chronicle,20
421,The Informer,24
7228,Insider Insights,12
2850,Star Sentinel,19
7628,Evening Echo,7
8918,Newsline,17
51,Global Gazette,10
7711,City Beat,2
9295,The Chronicle,21
7474,The Reporter,28
186,The Insight,25
7661,The Reporter,28
7443,Frontline Times,9
3700,The Insight,25
8210,The Insight,25
5040,Central Times,1
9756,The Informer,24
2305,Star Sentinel,19
2228,Daily Beacon,4
3008,Metro News,13
6851,Newsline,17
3872,The Herald Tribune,23
1884,Star Sentinel,19
4239,The Reporter,28
3282,Insider Insights,12
9239,Morning Star,14
4532,Star Sentinel,19
4130,The Informer,24
6815,City Beat,2
599,Central Times,1
4577,The Insight,25
7154,Press Pulse,18
7757,Central Times,1
1934,Star Sentinel,19
9557,The Insight,25
5297,Sunrise Chronicle,20
5075,Echo News,6
2076,Metro News,13
8142,Daily Digest,5
4714,World News Network,32
6176,Central Times,1
9402,Voice of the Nation,31
6948,Morning Star,14
4911,Times Today,29
9991,The Insight,25
10555,The Insight,25
8549,Central Times,1
2834,Evening Echo,7
6035,Voice of the Nation,31
2281,Express Tribune,8
9134,Metro News,13
6407,Urban News,30
1938,National Courier,15
1255,Metro News,13
4618,Star Sentinel,19
3602,Sunrise Chronicle,20
6841,Star Sentinel,19
8756,The Herald Tribune,23
5918,Capital Gazette,0
384,The Daily Dispatch,22
4492,The Observer,26
2432,Global Gazette,10
5307,City Times,3
8484,Metro News,13
9948,The Pulse,27
2916,Urban News,30
6058,Urban News,30
4713,The Observer,26
8767,Frontline Times,9
4217,The Daily Dispatch,22
1770,The Daily Dispatch,22
9394,Echo News,6
8428,The Daily Dispatch,22
3427,The Reporter,28
658,The Informer,24
10357,Evening Echo,7
4865,Metro News,13
4031,City Beat,2
10257,The Herald Tribune,23
2586,The Insight,25
4045,Evening Echo,7
4632,Metro News,13
71,The Insight,25
7577,The Informer,24
1108,Sunrise Chronicle,20
9485,The Informer,24
4701,Insider Insights,12
4929,Metro News,13
6698,The Reporter,28
667,Times Today,29
8516,Echo News,6
3382,Evening Echo,7
10048,Press Pulse,18
5199,National Courier,15
1809,Daily Digest,5
5724,Express Tribune,8
2812,National Courier,15
4666,City Times,3
7892,The Observer,26
9935,The Insight,25
6810,Express Tribune,8
5847,Insider Insights,12
7815,Newsflash,16
10183,World News Network,32
6768,Insider Insights,12
10203,National Courier,15
4808,Global Insight,11
9953,The Insight,25
9625,Global Gazette,10
4411,City Beat,2
1754,Sunrise Chronicle,20
6872,Voice of the Nation,31
854,Evening Echo,7
3137,The Chronicle,21
8643,Capital Gazette,0
2010,Voice of the Nation,31
9265,Morning Star,14
1109,Press Pulse,18
3592,The Herald Tribune,23
5468,Evening Echo,7
9044,Metro News,13
6203,Times Today,29
6316,Daily Digest,5
3147,Evening Echo,7
4318,Frontline Times,9
1905,The Daily Dispatch,22
4051,Voice of the Nation,31
3852,The Insight,25
6850,The Informer,24
205,Evening Echo,7
6327,Daily Digest,5
6442,Global Insight,11
3326,The Insight,25
2968,The Insight,25
3107,The Chronicle,21
1284,The Daily Dispatch,22
2989,The Reporter,28
6801,Central Times,1
3866,The Daily Dispatch,22
9196,Urban News,30
4796,The Pulse,27
9676,Metro News,13
961,Insider Insights,12
273,Echo News,6
3398,The Informer,24
10194,National Courier,15
263,The Insight,25
1242,The Insight,25
2840,The Informer,24
8772,The Herald Tribune,23
6862,The Daily Dispatch,22
6871,City Times,3
7391,World News Network,32
1570,The Reporter,28
2463,The Herald Tribune,23
4469,Sunrise Chronicle,20
2507,City Beat,2
9283,The Pulse,27
8646,The Insight,25
6784,Capital Gazette,0
1610,City Beat,2
9508,The Insight,25
4107,Newsline,17
3474,Star Sentinel,19
8197,Times Today,29
1181,Newsline,17
624,Newsflash,16
5575,Times Today,29
2042,Express Tribune,8
8114,Global Gazette,10
10246,Capital Gazette,0
9029,City Beat,2
1680,The Insight,25
2874,Daily Beacon,4
6448,Global Insight,11
8294,The Insight,25
5244,Metro News,13
7338,Express Tribune,8
5926,Daily Digest,5
5914,Newsline,17
3888,The Observer,26
763,Frontline Times,9
739,World News Network,32
9961,Sunrise Chronicle,20
1338,Newsline,17
5258,Capital Gazette,0
4053,Sunrise Chronicle,20
2678,The Pulse,27
3495,Evening Echo,7
4930,Capital Gazette,0
4904,Urban News,30
6391,Newsline,17
3146,Insider Insights,12
4489,Metro News,13
9521,The Chronicle,21
4454,The Herald Tribune,23
4708,Urban News,30
9340,Daily Digest,5
8145,Capital Gazette,0
1461,Morning Star,14
440,Frontline Times,9
7844,City Times,3
3851,Newsflash,16
334,Newsflash,16
7928,Star Sentinel,19
9168,The Observer,26
6455,City Beat,2
3767,Capital Gazette,0
6135,Daily Beacon,4
5215,The Insight,25
5207,Echo News,6
10021,Newsflash,16
5035,The Herald Tribune,23
3103,The Herald Tribune,23
6775,The Daily Dispatch,22
8263,Urban News,30
1376,Times Today,29
6494,The Informer,24
1510,Frontline Times,9
356,Voice of the Nation,31
8521,Capital Gazette,0
5722,Daily Beacon,4
2683,The Chronicle,21
8340,The Herald Tribune,23
4020,World News Network,32
7006,National Courier,15
3226,Global Insight,11
6287,Global Gazette,10
7119,The Herald Tribune,23
3375,Newsline,17
3106,Global Gazette,10
6804,Newsline,17
5352,City Times,3
2339,Express Tribune,8
7771,Press Pulse,18
2422,Echo News,6
1597,Evening Echo,7
4261,Sunrise Chronicle,20
2640,Voice of the Nation,31
10454,Morning Star,14
4477,The Informer,24
5184,The Informer,24
4648,The Insight,25
3144,The Daily Dispatch,22
1784,World News Network,32
9814,National Courier,15
800,Newsflash,16
1518,Global Gazette,10
6429,Star Sentinel,19
3938,The Reporter,28
3638,The Pulse,27
6918,The Daily Dispatch,22
9825,The Chronicle,21
7713,Times Today,29
1829,Insider Insights,12
6995,Star Sentinel,19
2845,City Beat,2
317,Newsflash,16
3302,City Beat,2
9645,Voice of the Nation,31
9251,Global Insight,11
8146,Daily Digest,5
9722,The Chronicle,21
162,The Informer,24
151,Capital Gazette,0
6170,The Chronicle,21
2714,Express Tribune,8
3327,The Herald Tribune,23
4147,Newsflash,16
751,City Times,3
3993,The Chronicle,21
3664,The Reporter,28
5438,Insider Insights,12
6329,Central Times,1
4455,Press Pulse,18
9769,Urban News,30
235,The Insight,25
4359,The Herald Tribune,23
2462,Newsline,17
7877,Daily Digest,5
5305,Global Gazette,10
8824,Newsline,17
9453,City Times,3
4289,Daily Digest,5
5434,The Chronicle,21
6665,Newsline,17
743,City Times,3
9554,The Chronicle,21
8925,City Times,3
5061,Evening Echo,7
7953,The Daily Dispatch,22
1146,The Daily Dispatch,22
6588,Star Sentinel,19
9586,Press Pulse,18
6299,Central Times,1
10314,Insider Insights,12
9648,Newsline,17
9437,Voice of the Nation,31
9444,Express Tribune,8
1027,The Daily Dispatch,22
9560,Morning Star,14
5237,Central Times,1
8133,World News Network,32
4122,The Insight,25
266,Times Today,29
10548,Urban News,30
2551,The Observer,26
10363,Daily Beacon,4
5060,Newsline,17
5183,Central Times,1
2822,Voice of the Nation,31
4305,Newsline,17
1786,Star Sentinel,19
5685,Urban News,30
2057,The Insight,25
6128,Evening Echo,7
7303,Newsflash,16
4601,Evening Echo,7
8367,The Chronicle,21
1996,Metro News,13
4267,Central Times,1
3077,Echo News,6
2376,City Times,3
9553,Global Insight,11
2570,Evening Echo,7
4375,Global Gazette,10
6917,Newsline,17
781,National Courier,15
7811,The Reporter,28
7529,The Daily Dispatch,22
8353,Insider Insights,12
10250,The Chronicle,21
2619,Star Sentinel,19
8696,Star Sentinel,19
9749,Frontline Times,9
693,Global Gazette,10
4621,Daily Beacon,4
7253,Star Sentinel,19
5869,The Observer,26
1118,The Daily Dispatch,22
6369,Evening Echo,7
7701,Star Sentinel,19
5223,The Insight,25
6113,Voice of the Nation,31
9696,Newsline,17
10124,Morning Star,14
9390,The Pulse,27
217,Insider Insights,12
2634,The Herald Tribune,23
3134,Newsflash,16
8552,Daily Beacon,4
1590,World News Network,32
704,Capital Gazette,0
7863,Voice of the Nation,31
3982,The Observer,26
8614,Newsflash,16
3140,The Herald Tribune,23
1423,The Pulse,27
10518,The Pulse,27
3828,Morning Star,14
9231,National Courier,15
8088,Sunrise Chronicle,20
1722,Newsflash,16
9307,National Courier,15
1479,Echo News,6
992,Central Times,1
8483,Insider Insights,12
1343,Morning Star,14
10531,The Chronicle,21
5330,The Daily Dispatch,22
187,Global Gazette,10
5209,Newsflash,16
6975,Press Pulse,18
9618,The Chronicle,21
4883,The Herald Tribune,23
4750,Global Insight,11
7589,Morning Star,14
9640,Global Insight,11
8059,Newsline,17
8692,The Daily Dispatch,22
5020,Global Insight,11
1171,The Insight,25
9614,Press Pulse,18
7147,National Courier,15
