t_id,visitas,compartir,duracion,favorito
8476,389073,55938,599,8008
10294,239160,34348,216,7958
3608,48853,43056,447,8145
10142,710817,96927,184,1102
875,997280,74788,175,3299
6903,732305,74878,,3672
7341,417548,88078,350,1117
95,485990,19274,56,3452
4869,494533,90885,262,6342
2909,70070,,24,3836
1357,744383,23470,179,2798
988,625588,56885,82,1137
7041,745441,58799,441,7849
7623,358433,7405,215,2179
1571,888227,63391,299,8505
4739,819793,51367,219,6306
7737,176179,24390,404,7675
8716,230360,47047,73,924
3304,945606,11122,270,5246
3078,834785,96689,160,7138
2517,207429,61218,428,4602
10348,86757,99240,91,3750
778,827698,45264,371,
3300,148589,24630,139,7041
6155,333082,91088,437,5596
636,29395,7775,141,7303
755,392528,58859,292,7317
626,700405,97640,192,7849
691,928651,36172,235,
5743,929271,49751,456,9734
1787,43955,67059,267,5468
7808,693057,29358,45,1327
6484,470815,96008,316,9555
7385,642104,96015,485,1003
9016,938372,53880,159,913
9324,252936,45007,239,4326
8983,758856,37451,158,5209
8965,664169,6067,420,9707
5580,256806,72411,228,803
9757,65148,28395,,1395
1967,718715,13320,265,229
431,707676,61175,,79
5955,626726,95549,107,7490
7455,714210,19767,325,4985
5224,19490,48967,145,4269
7793,452820,8300,252,6057
2777,111668,24830,281,7784
587,950441,27821,285,7084
9403,424912,50309,473,4343
5931,601577,45959,55,3921
3027,472699,6723,,7516
4377,18785,26639,207,
5937,162274,96811,425,3577
7277,597152,6757,270,6675
5521,391763,7357,400,
3627,747266,23472,349,5686
9360,385301,70637,422,7221
909,147881,57070,201,5053
6646,459536,63975,522,7897
1522,189921,87862,15,3123
7540,931812,39981,180,7208
1834,91393,69417,297,6843
1775,452354,41791,,5
8212,227273,39115,505,4320
3363,172592,13810,55,5041
1084,93336,46192,,6206
4410,148423,44955,533,2938
2669,587306,6653,251,7181
3648,145831,88470,222,3290
6197,187346,24184,456,9633
596,182420,69583,,8741
6061,226938,28450,207,8756
1569,756226,58742,43,8001
1178,756756,59009,243,5284
9545,409149,29448,544,1910
1506,647547,79766,301,1571
1641,663741,26580,517,
139,685741,44212,388,9743
7744,387482,83909,147,7154
8177,202656,18241,190,2249
4134,370514,69117,261,6455
917,567655,10031,319,7459
3854,587251,42817,144,3533
7049,65081,6165,364,259
3343,419056,19489,326,4288
4348,415564,54883,173,5274
3424,662399,82965,289,6456
1718,221858,9109,600,8973
143,391922,6914,320,7772
930,322893,70338,201,2615
1661,460680,54190,303,7836
7801,926345,69486,289,9375
10232,692974,6754,7,4049
1360,137401,38596,410,7961
3635,164135,64942,294,6018
8290,21849,26081,147,6962
6227,250843,1163,,9707
3255,163986,83571,435,695
3177,113929,70847,333,2669
2832,82021,65415,10,4930
4294,488227,41729,236,7007
5316,709532,86468,25,4174
1524,258397,,,9697
2974,171246,46008,103,1702
3364,68993,42175,331,3448
4933,736533,52586,299,1869
5530,591016,68319,643,8874
7680,929360,60498,,2577
10490,789380,31974,,5784
9413,100375,20994,574,2954
4880,541375,24652,46,2536
3512,283866,68834,332,5289
8685,510774,76609,31,3742
6763,370733,92362,168,6319
7730,968642,37207,106,3690
2546,521114,44992,354,
2596,96001,98479,210,2999
7362,252605,91041,429,9954
7513,516996,80155,,3542
1475,343763,13385,,5058
2232,928269,81099,420,6407
6247,631848,14509,528,8509
127,773503,10815,399,6017
6025,83630,49448,45,3496
10122,329825,5598,334,2462
4979,850918,54271,419,6185
1700,346939,81088,519,6220
9398,795775,39123,208,1939
10427,259384,48301,522,7805
7099,414973,37883,373,4107
4500,859323,60167,237,8452
8013,252809,87964,84,8236
2199,749567,95377,541,4485
4943,592166,84618,329,4859
10092,357887,78674,141,
9121,153318,61604,25,1087
8122,296417,98437,214,6338
8988,251051,28691,0,6677
2115,801341,42202,138,
8682,30702,77876,394,6642
6350,807986,53281,536,1153
4597,123610,32014,237,430
7818,954491,52422,161,4651
677,711933,64574,,675
6408,990616,20737,,9969
3004,988953,17933,,5459
8357,412932,18430,56,7241
10511,363340,14127,178,9827
8322,407653,91923,410,75
6212,51088,60173,,2015
172,940577,49690,368,5055
6920,894640,75620,,9127
9468,983995,50080,70,6429
6460,935735,62556,368,761
5202,798909,92422,,1340
6809,321584,74561,711,7658
2802,353370,59132,389,2670
1329,453004,25440,237,2059
4114,177089,40283,599,745
6527,43219,14892,51,2714
4354,118720,63095,25,2219
3138,670590,74764,512,5154
9447,938234,6507,1,5246
7256,579813,7985,418,5704
421,762387,84485,611,2285
7228,274479,8791,,5118
2850,418274,83687,575,987
7628,657215,93776,45,8873
8918,380606,95624,256,121
51,211416,47140,,
7711,471858,43547,381,707
9295,154083,57385,13,8983
7474,212047,12070,399,5496
186,673526,12255,266,1893
7661,191059,56211,416,470
7443,421267,60393,131,9171
3700,710939,65694,,1230
8210,52800,56248,556,5538
5040,132112,4553,110,3971
9756,193764,43252,252,2236
2305,154661,34112,,8344
2228,576916,99921,,4202
3008,604889,37835,172,9070
6851,640106,41086,114,6976
3872,792514,64132,404,
1884,61489,10566,619,1687
4239,126509,50852,225,9792
3282,946905,98848,323,9346
9239,556660,12584,477,9959
4532,253186,16442,94,7395
4130,614262,40543,408,104
6815,368987,58214,513,9481
599,98998,77076,72,2052
4577,832190,40097,435,2884
7154,739358,16737,284,9338
7757,335701,17125,56,2104
1934,442446,5264,201,2334
9557,361647,31360,314,5439
5297,853476,78000,327,1046
5075,883377,4335,435,149
2076,791391,55897,545,5933
8142,728128,70846,,3825
4714,638592,50763,563,5688
6176,166468,72790,,9673
9402,665792,14517,,8641
6948,8286,5336,385,3303
4911,472664,91975,445,2384
9991,322875,71092,419,
10555,217766,95628,548,5092
8549,708708,49096,282,3514
2834,436034,73593,270,9466
6035,531843,22016,265,6049
2281,490402,56488,317,4174
9134,563293,76834,366,9450
6407,440129,94192,200,3496
1938,183113,40793,737,1400
1255,954101,50046,60,3977
4618,694627,71194,,5507
3602,908026,43925,30,7751
6841,494195,74638,27,7402
8756,893708,9331,517,3273
5918,255576,80106,,9566
384,375530,49296,279,8972
4492,634892,27089,239,8324
2432,839909,99851,335,9076
5307,929782,49381,496,5873
8484,747277,97466,26,3070
9948,456882,38072,420,1485
2916,122115,46272,103,4928
6058,923870,35236,322,944
4713,956528,71806,269,810
8767,64683,85803,298,7573
4217,315674,73715,232,286
1770,619833,,,6311
9394,848219,77145,302,3166
8428,695804,89090,394,9891
3427,183004,1443,173,8438
658,150961,38903,176,6510
10357,322636,1348,485,3015
4865,260598,17396,356,5006
4031,473413,47777,27,2837
10257,776332,85311,88,8938
2586,981043,79156,252,3282
4045,381615,93507,472,5432
4632,361290,72064,24,584
71,732567,24749,357,1297
7577,155056,10874,543,7111
1108,20150,34819,167,2452
9485,929214,22666,333,6746
4701,78721,81553,551,6379
4929,79019,5303,177,8183
6698,935686,34790,19,1179
667,477138,8595,405,1554
8516,986065,51999,93,9420
3382,997304,40619,,2965
10048,223102,35797,359,6415
5199,627530,4826,184,7097
1809,527080,12945,516,3346
5724,15917,88572,,1526
2812,712346,70066,,2235
4666,534064,18916,437,4518
7892,80382,95450,,4226
9935,45488,48072,263,5449
6810,133921,32654,402,2841
5847,551082,2180,,2997
7815,362339,903,302,9037
10183,801225,52168,564,8173
6768,611694,95315,243,2434
10203,656756,23824,248,4203
4808,494464,83077,149,9631
9953,873552,95215,441,1514
9625,800347,31966,11,1419
4411,416587,91093,171,183
1754,236309,30604,525,9567
6872,472718,28155,,2019
854,621769,50822,381,3172
3137,171946,63165,286,5157
8643,626187,16175,237,2586
2010,195331,31954,436,1091
9265,634998,42918,,5076
1109,344913,94268,,4811
3592,431675,99180,359,2651
5468,281151,10148,146,7322
9044,456458,80962,366,6278
6203,719288,30964,334,771
6316,635609,81234,441,9569
3147,402565,5242,208,1627
4318,420071,61925,490,1083
1905,691794,72643,361,1007
4051,646337,22329,54,9312
3852,675883,37509,473,1029
6850,512387,76323,346,93
205,420763,15254,370,1361
6327,588757,16858,284,3880
6442,9060,26434,477,4618
3326,980498,8572,53,4726
2968,409941,47848,,5600
3107,91953,18229,534,
1284,552946,2129,142,8062
2989,224846,83577,54,4354
6801,333125,4707,324,7225
3866,723365,70279,362,904
9196,514758,98175,260,8852
4796,349633,26741,248,2071
9676,700144,63659,319,4154
961,228760,50745,407,1572
273,66329,98447,238,7448
