,t_id,pais,idioma
0,8476,United States,English
1,10294,Bangladesh,English
2,3608,Tanzania,English
3,10142,Thailand,English
4,875,Kenya,English
5,6903,Germany,English
6,7341,Bangladesh,English
7,95,China,English
8,4869,Mexico,English
9,2909,Bangladesh,English
10,1357,Philippines,English
11,988,Russia,English
12,7041,Indonesia,English
13,7623,Vietnam,English
14,1571,Egypt,English
15,4739,India,English
16,7737,Myanmar,English
17,8716,United States,English
18,3304,Philippines,English
19,3078,Philippines,English
20,2517,Tanzania,English
21,10348,Mexico,English
22,778,Sudan,English
23,3300,Spain,English
24,6155,United States,English
25,636,Mexico,English
26,755,Italy,English
27,626,Japan,English
28,691,Tanzania,English
29,5743,Ethiopia,English
30,1787,Iran,English
31,7808,Pakistan,English
32,6484,Kenya,English
33,7385,France,English
34,9016,Spain,English
35,9324,United States,English
36,8983,Philippines,English
37,8965,Spain,English
38,5580,Italy,English
39,9757,Algeria,English
40,1967,Uganda,English
41,431,Ukraine,English
42,5955,Algeria,English
43,7455,Tanzania,English
44,5224,Pakistan,English
45,7793,Turkey,English
46,2777,Brazil,English
47,587,Russia,English
48,9403,Russia,English
49,5931,Russia,English
50,3027,Turkey,English
51,4377,India,English
52,5937,South Africa,English
53,7277,Ethiopia,English
54,5521,Russia,English
55,3627,South Africa,English
56,9360,Colombia,English
57,909,Vietnam,English
58,6646,Russia,English
59,1522,Sudan,English
60,7540,Russia,English
61,1834,Thailand,English
62,1775,Vietnam,English
63,8212,Colombia,English
64,3363,Sudan,English
65,1084,Ukraine,English
66,4410,Germany,English
67,2669,France,English
68,3648,Sudan,English
69,6197,Indonesia,English
70,596,Russia,English
71,6061,Thailand,English
72,1569,United Kingdom,English
73,1178,United States,English
74,9545,Myanmar,English
75,1506,Vietnam,English
76,1641,France,English
77,139,Philippines,English
78,7744,Argentina,English
79,8177,Turkey,English
80,4134,Ukraine,English
81,917,Indonesia,English
82,3854,Uganda,English
83,7049,Thailand,English
84,3343,Iran,English
85,4348,Myanmar,English
86,3424,Brazil,English
87,1718,Kenya,English
88,143,DR Congo,English
89,930,Egypt,English
90,1661,Brazil,English
91,7801,Germany,English
92,10232,Uganda,English
93,1360,Mexico,English
94,3635,Kenya,English
95,8290,Iran,English
96,6227,Nigeria,English
97,3255,Uganda,English
98,3177,Algeria,English
99,2832,Iran,English
100,4294,Uganda,English
101,5316,Indonesia,English
102,1524,United States,English
103,2974,Kenya,English
104,3364,Argentina,English
105,4933,Turkey,English
106,5530,Philippines,English
107,7680,Algeria,English
108,10490,Egypt,English
109,9413,Russia,English
110,4880,Pakistan,English
111,3512,United States,English
112,8685,South Korea,English
113,6763,France,English
114,7730,Pakistan,English
115,2546,Argentina,English
116,2596,Algeria,English
117,7362,Bangladesh,English
118,7513,United States,English
119,1475,Ethiopia,English
120,2232,Japan,English
121,6247,Turkey,English
122,127,Germany,English
123,6025,France,English
124,10122,China,English
125,4979,Kenya,English
126,1700,France,English
127,9398,Indonesia,English
128,10427,Brazil,English
129,7099,Argentina,English
130,4500,Tanzania,English
131,8013,United Kingdom,English
132,2199,China,English
133,4943,Indonesia,English
134,10092,Germany,English
135,9121,Philippines,English
136,8122,India,English
137,8988,South Korea,English
138,2115,Thailand,English
139,8682,Vietnam,English
140,6350,Vietnam,English
141,4597,Nigeria,English
142,7818,Russia,English
143,677,Turkey,English
144,6408,Pakistan,English
145,3004,Vietnam,English
146,8357,Vietnam,English
147,10511,Indonesia,English
148,8322,Iran,English
149,6212,South Korea,English
150,172,Philippines,English
151,6920,Algeria,English
152,9468,Russia,English
153,6460,Argentina,English
154,5202,South Korea,English
155,6809,Russia,English
156,2802,Brazil,English
157,1329,Uganda,English
158,4114,United Kingdom,English
159,6527,Tanzania,English
160,4354,Iran,English
161,3138,South Korea,English
162,9447,Colombia,English
163,7256,Iran,English
164,421,Nigeria,English
165,7228,Philippines,English
166,2850,Bangladesh,English
167,7628,Myanmar,English
168,8918,Pakistan,English
169,51,Argentina,English
170,7711,Sudan,English
171,9295,Philippines,English
172,7474,Turkey,English
173,186,France,English
174,7661,Spain,English
175,7443,Italy,English
176,3700,Spain,English
177,8210,Germany,English
178,5040,Myanmar,English
179,9756,Mexico,English
180,2305,Colombia,English
181,2228,Uganda,English
182,3008,India,English
183,6851,Turkey,English
184,3872,Germany,English
185,1884,Turkey,English
186,4239,Japan,English
187,3282,Japan,English
188,9239,Egypt,English
189,4532,Iran,English
190,4130,Kenya,English
191,6815,Kenya,English
192,599,Brazil,English
193,4577,Thailand,English
194,7154,Vietnam,English
195,7757,India,English
196,1934,South Korea,English
197,9557,Tanzania,English
198,5297,United States,English
199,5075,DR Congo,English
200,2076,Italy,English
201,8142,India,English
202,4714,United States,English
203,6176,Russia,English
204,9402,China,English
205,6948,Egypt,English
206,4911,Nigeria,English
207,9991,Kenya,English
208,10555,DR Congo,English
209,8549,Kenya,English
210,2834,Bangladesh,English
211,6035,Ukraine,English
212,2281,United States,English
213,9134,Ukraine,English
214,6407,Sudan,English
215,1938,Nigeria,English
216,1255,Kenya,English
217,4618,South Africa,English
218,3602,France,English
219,6841,Philippines,English
220,8756,Nigeria,English
221,5918,India,English
222,384,Iran,English
223,4492,South Africa,English
224,2432,Thailand,English
225,5307,Sudan,English
226,8484,Italy,English
227,9948,United States,English
228,2916,Myanmar,English
229,6058,South Africa,English
230,4713,United Kingdom,English
231,8767,Nigeria,English
232,4217,Ethiopia,English
233,1770,Japan,English
234,9394,Thailand,English
235,8428,Italy,English
236,3427,United Kingdom,English
237,658,South Korea,English
238,10357,Spain,English
239,4865,Nigeria,English
240,4031,Germany,English
241,10257,Sudan,English
242,2586,Argentina,English
243,4045,DR Congo,English
244,4632,Iran,English
245,71,Spain,English
246,7577,South Africa,English
247,1108,Spain,English
248,9485,Russia,English
249,4701,Vietnam,English
250,4929,United Kingdom,English
251,6698,Iran,English
252,667,United States,English
253,8516,Turkey,English
254,3382,Philippines,English
255,10048,Thailand,English
256,5199,United Kingdom,English
257,1809,Myanmar,English
258,5724,India,English
259,2812,Ethiopia,English
260,4666,Bangladesh,English
261,7892,Tanzania,English
262,9935,Philippines,English
263,6810,Sudan,English
264,5847,China,English
265,7815,Myanmar,English
266,10183,Spain,English
267,6768,South Korea,English
268,10203,Italy,English
269,4808,Philippines,English
270,9953,Colombia,English
271,9625,DR Congo,English
272,4411,Germany,English
273,1754,Germany,English
274,6872,DR Congo,English
275,854,India,English
276,3137,Spain,English
277,8643,Indonesia,English
278,2010,India,English
279,9265,Indonesia,English
280,1109,Myanmar,English
281,3592,Italy,English
282,5468,Bangladesh,English
283,9044,Philippines,English
284,6203,Egypt,English
285,6316,Turkey,English
286,3147,Turkey,English
287,4318,Indonesia,English
288,1905,Algeria,English
289,4051,South Africa,English
290,3852,Ethiopia,English
291,6850,Japan,English
292,205,DR Congo,English
293,6327,Turkey,English
294,6442,Germany,English
295,3326,South Africa,English
296,2968,Nigeria,English
297,3107,DR Congo,English
298,1284,United Kingdom,English
299,2989,Italy,English
300,6801,Turkey,English
301,3866,Myanmar,English
302,9196,Ethiopia,English
303,4796,Vietnam,English
304,9676,Sudan,English
305,961,Brazil,English
306,273,Kenya,English
307,3398,Ukraine,English
308,10194,Russia,English
309,263,Argentina,English
310,1242,Pakistan,English
311,2840,United Kingdom,English
312,8772,India,English
313,6862,DR Congo,English
314,6871,Egypt,English
315,7391,South Africa,English
316,1570,Japan,English
317,2463,Philippines,English
318,4469,DR Congo,English
319,2507,Tanzania,English
320,9283,United States,English
321,8646,Kenya,English
322,6784,France,English
323,1610,Italy,English
324,9508,Myanmar,English
325,4107,South Korea,English
326,3474,Ukraine,English
327,8197,United States,English
328,1181,Japan,English
329,624,Vietnam,English
330,5575,Colombia,English
331,2042,Russia,English
332,8114,Iran,English
333,10246,Uganda,English
334,9029,China,English
335,1680,Tanzania,English
336,2874,Ethiopia,English
337,6448,Italy,English
338,8294,Tanzania,English
339,5244,Ukraine,English
340,7338,China,English
341,5926,South Korea,English
342,5914,Italy,English
343,3888,Brazil,English
344,763,Germany,English
345,739,Vietnam,English
346,9961,South Korea,English
347,1338,South Korea,English
348,5258,Mexico,English
349,4053,Egypt,English
350,2678,Italy,English
351,3495,Argentina,English
352,4930,Russia,English
353,4904,Brazil,English
354,6391,India,English
355,3146,China,English
356,4489,Philippines,English
357,9521,Spain,English
358,4454,South Africa,English
359,4708,Philippines,English
360,9340,Philippines,English
361,8145,Japan,English
362,1461,Tanzania,English
363,440,DR Congo,English
364,7844,Kenya,English
365,3851,Myanmar,English
366,334,Mexico,English
367,7928,Bangladesh,English
368,9168,Thailand,English
369,6455,South Africa,English
370,3767,Argentina,English
371,6135,India,English
372,5215,Kenya,English
373,5207,Egypt,English
374,10021,Bangladesh,English
375,5035,India,English
376,3103,Argentina,English
377,6775,France,English
378,8263,India,English
379,1376,United States,English
380,6494,Kenya,English
381,1510,Uganda,English
382,356,Spain,English
383,8521,Sudan,English
384,5722,Kenya,English
385,2683,Spain,English
386,8340,Myanmar,English
387,4020,Myanmar,English
388,7006,Bangladesh,English
389,3226,Turkey,English
390,6287,Indonesia,English
391,7119,Japan,English
392,3375,Spain,English
393,3106,Myanmar,English
394,6804,Myanmar,English
395,5352,Russia,English
396,2339,Algeria,English
397,7771,United Kingdom,English
398,2422,Ethiopia,English
399,1597,Russia,English
400,4261,South Korea,English
401,2640,Spain,English
402,10454,South Korea,English
403,4477,DR Congo,English
404,5184,Uganda,English
405,4648,Myanmar,English
406,3144,China,English
407,1784,Russia,English
408,9814,Myanmar,English
409,800,Ukraine,English
410,1518,Tanzania,English
411,6429,Egypt,English
412,3938,Kenya,English
413,3638,Kenya,English
414,6918,Nigeria,English
415,9825,Japan,English
416,7713,Myanmar,English
417,1829,India,English
418,6995,Spain,English
419,2845,Egypt,English
420,317,Brazil,English
421,3302,Ukraine,English
422,9645,Bangladesh,English
423,9251,Egypt,English
424,8146,Thailand,English
425,9722,United Kingdom,English
426,162,France,English
427,151,Argentina,English
428,6170,United Kingdom,English
429,2714,Philippines,English
430,3327,Ethiopia,English
431,4147,Turkey,English
432,751,DR Congo,English
433,3993,France,English
434,3664,Mexico,English
435,5438,Spain,English
436,6329,Ukraine,English
437,4455,Germany,English
438,9769,Iran,English
439,235,Bangladesh,English
440,4359,South Africa,English
441,2462,Ukraine,English
442,7877,Colombia,English
443,5305,Algeria,English
444,8824,Thailand,English
445,9453,India,English
446,4289,Egypt,English
447,5434,Argentina,English
448,6665,India,English
449,743,South Korea,English
450,9554,Japan,English
451,8925,Algeria,English
452,5061,DR Congo,English
453,7953,Algeria,English
454,1146,Ukraine,English
455,6588,Uganda,English
456,9586,Kenya,English
457,6299,Germany,English
458,10314,Egypt,English
459,9648,Kenya,English
460,9437,Myanmar,English
461,9444,Indonesia,English
462,1027,Philippines,English
463,9560,Tanzania,English
464,5237,Turkey,English
465,8133,Myanmar,English
466,4122,Indonesia,English
467,266,Pakistan,English
468,10548,United Kingdom,English
469,2551,Colombia,English
470,10363,China,English
471,5060,Italy,English
472,5183,Myanmar,English
473,2822,Ukraine,English
474,4305,DR Congo,English
475,1786,Kenya,English
476,5685,Colombia,English
477,2057,India,English
478,6128,DR Congo,English
479,7303,South Korea,English
480,4601,France,English
481,8367,Tanzania,English
482,1996,Egypt,English
483,4267,Ukraine,English
484,3077,Ethiopia,English
485,2376,Turkey,English
486,9553,United States,English
487,2570,Algeria,English
488,4375,Argentina,English
489,6917,Iran,English
490,781,Egypt,English
491,7811,Sudan,English
492,7529,Russia,English
493,8353,Brazil,English
494,10250,Indonesia,English
495,2619,United States,English
496,8696,Tanzania,English
497,9749,Colombia,English
498,693,Argentina,English
499,4621,China,English
500,7253,Tanzania,English
501,5869,Russia,English
502,1118,Philippines,English
503,6369,Tanzania,English
504,7701,United Kingdom,English
505,5223,United States,English
506,6113,Pakistan,English
507,9696,Uganda,English
508,10124,Spain,English
509,9390,Spain,English
510,217,Sudan,English
511,2634,Vietnam,English
512,3134,Vietnam,English
513,8552,Spain,English
514,1590,Nigeria,English
515,704,Algeria,English
516,7863,Sudan,English
517,3982,Nigeria,English
518,8614,Ukraine,English
519,3140,Mexico,English
520,1423,Mexico,English
521,10518,Kenya,English
522,3828,Indonesia,English
523,9231,Myanmar,English
524,8088,Germany,English
525,1722,France,English
526,9307,Japan,English
527,1479,Japan,English
528,992,Egypt,English
529,8483,Germany,English
530,1343,China,English
531,10531,Uganda,English
532,5330,United Kingdom,English
533,187,Ethiopia,English
534,5209,Brazil,English
535,6975,DR Congo,English
536,9618,Algeria,English
537,4883,France,English
538,4750,Algeria,English
539,7589,Algeria,English
540,9640,Turkey,English
541,8059,Egypt,English
542,8692,South Africa,English
543,5020,Indonesia,English
544,1171,DR Congo,English
545,9614,Italy,English
546,7147,France,English
547,764,China,English
548,10396,China,English
549,1819,Spain,English
550,569,Argentina,English
551,4770,Philippines,English
552,10442,Tanzania,English
553,1920,Uganda,English
554,4431,Philippines,English
555,1675,Indonesia,English
556,5057,Myanmar,English
557,9738,Pakistan,English
558,7410,Argentina,English
559,5551,Bangladesh,English
560,8648,Egypt,English
561,9968,Ethiopia,English
562,6818,Germany,English
563,188,Russia,English
564,5028,Nigeria,English
565,3,Bangladesh,English
566,7103,Algeria,English
567,4561,Brazil,English
568,7938,Turkey,English
569,4145,Mexico,English
570,479,Colombia,English
571,6132,Argentina,English
572,6865,France,English
573,2532,Nigeria,English
574,7986,Colombia,English
575,6622,Nigeria,English
576,4246,Pakistan,English
577,9785,DR Congo,English
578,708,South Africa,English
579,5485,Pakistan,English
580,9748,France,English
581,4563,Algeria,English
582,6351,Kenya,English
583,944,Italy,English
584,9652,Japan,English
585,821,Spain,English
586,6893,Ukraine,English
587,7831,Myanmar,English
588,5114,South Africa,English
589,4630,Myanmar,English
590,3887,Vietnam,English
591,9253,Myanmar,English
592,8577,Pakistan,English
593,10130,Iran,English
594,500,Indonesia,English
595,10391,DR Congo,English
596,2497,Japan,English
597,9742,Mexico,English
598,7946,Uganda,English
599,6939,United Kingdom,English
600,7317,France,English
601,2837,Myanmar,English
602,6814,Germany,English
603,5871,Sudan,English
604,3870,Pakistan,English
605,868,Brazil,English
606,1115,Tanzania,English
607,6863,Italy,English
608,449,Philippines,English
609,2768,Myanmar,English
610,10300,United Kingdom,English
611,9765,United Kingdom,English
612,9569,Brazil,English
613,3855,Vietnam,English
614,6220,India,English
615,5849,Iran,English
616,1318,Colombia,English
617,972,South Africa,English
618,109,United Kingdom,English
619,2691,Mexico,English
620,5772,Kenya,English
621,4397,Mexico,English
622,8902,Tanzania,English
623,2052,Brazil,English
624,5760,Brazil,English
625,7169,Turkey,English
626,7966,Italy,English
627,605,Egypt,English
628,6895,Argentina,English
629,819,Sudan,English
630,9302,United States,English
631,9565,Iran,English
632,1883,Nigeria,English
633,3682,Philippines,English
634,5826,Nigeria,English
635,5190,Algeria,English
636,2139,South Korea,English
637,6437,Iran,English
638,7588,Bangladesh,English
639,9443,United States,English
640,2646,Russia,English
641,1604,China,English
642,1424,India,English
643,6745,Vietnam,English
644,7314,Iran,English
645,10056,South Korea,English
646,4484,Thailand,English
647,9835,Tanzania,English
648,6787,Germany,English
649,1297,India,English
650,5821,Thailand,English
651,6752,Tanzania,English
652,8524,South Korea,English
653,2732,United Kingdom,English
654,4088,United Kingdom,English
655,578,Egypt,English
656,1723,Turkey,English
657,7047,China,English
658,10133,Algeria,English
659,3256,Nigeria,English
660,2786,Mexico,English
661,9930,India,English
662,4514,Pakistan,English
663,1612,United States,English
664,1951,Ethiopia,English
665,9189,India,English
666,5105,Indonesia,English
667,5401,Russia,English
668,2987,Ukraine,English
669,1653,Spain,English
670,10061,Philippines,English
671,6323,Mexico,English
672,6742,Ethiopia,English
673,5891,Argentina,English
674,462,South Africa,English
675,2102,Colombia,English
676,6074,Spain,English
677,1530,Russia,English
678,2588,United States,English
679,6982,Indonesia,English
680,7498,Italy,English
681,10060,China,English
682,9093,South Africa,English
683,4797,France,English
684,5134,United States,English
685,1535,South Africa,English
