t_id,tipo
3608,Columna
4869,Columna
139,Columna
3424,Columna
1718,Columna
3635,Columna
6227,Columna
2232,Columna
4114,Columna
186,Columna
4714,Columna
4929,Columna
9265,Columna
1109,Columna
9196,Columna
2678,Columna
5035,Columna
6804,Columna
266,Columna
4305,Columna
1118,Columna
4750,Columna
1675,Columna
8902,Columna
5760,Columna
9565,Columna
1883,Columna
1532,Columna
612,Columna
10270,Columna
10444,Columna
6880,Columna
7667,Columna
4178,Columna
8525,Columna
10372,Columna
2241,Columna
1204,Columna
2216,Columna
701,Columna
2092,Columna
6055,Columna
998,Columna
8879,Columna
9009,Columna
8496,Columna
23,Columna
5233,Columna
2935,Columna
597,Columna
3115,Columna
6279,Columna
7769,Columna
5064,Columna
929,Columna
2994,Columna
351,Columna
7559,Columna
654,Columna
5991,Columna
5214,Columna
2746,Columna
5416,Columna
7161,Columna
2171,Columna
5948,Columna
510,Columna
7255,Columna
4486,Columna
4471,Columna
7785,Columna
734,Columna
6566,Columna
7411,Columna
8206,Columna
777,Columna
7720,Columna
4983,Columna
9424,Columna
5326,Columna
401,Columna
385,Columna
10109,Columna
1116,Columna
4586,Columna
1140,Columna
362,Columna
4091,Columna
1051,Columna
8372,Columna
6032,Columna
6359,Columna
3601,Columna
3005,Columna
877,Columna
169,Columna
7028,Columna
1269,Columna
916,Columna
2761,Columna
8325,Columna
2203,Columna
183,Columna
342,Columna
8109,Columna
3418,Columna
6097,Columna
10187,Columna
8942,Columna
355,Columna
1588,Columna
8513,Columna
5151,Columna
5250,Columna
5154,Columna
5915,Columna
1778,Columna
1808,Columna
2531,Columna
1028,Columna
6067,Columna
1949,Columna
4840,Columna
354,Columna
3733,Columna
3175,Columna
4280,Columna
6064,Columna
1440,Columna
7424,Columna
1425,Columna
2213,Columna
3983,Columna
598,Columna
2737,Columna
9596,Columna
2607,Columna
2030,Columna
4723,Columna
4414,Columna
6666,Columna
9540,Columna
361,Columna
3738,Columna
2745,Columna
523,Columna
7224,Columna
3891,Columna
3224,Columna
2098,Columna
1735,Columna
2770,Columna
3267,Columna
4982,Columna
3752,Columna
7066,Columna
1828,Columna
5768,Columna
6372,Columna
4949,Columna
4892,Columna
1968,Columna
3804,Columna
3537,Columna
5824,Columna
3265,Columna
7311,Columna
3915,Columna
4039,Columna
442,Columna
321,Columna
946,Columna
1359,Columna
1414,Columna
6971,Columna
3655,Columna
4531,Columna
4616,Columna
9353,Columna
2760,Columna
3515,Columna
9881,Columna
1128,Columna
10196,Columna
7920,Columna
6163,Columna
5013,Columna
5255,Columna
4998,Columna
3724,Columna
3903,Columna
3543,Columna
7257,Columna
4017,Columna
6668,Columna
2667,Columna
6898,Columna
709,Columna
7618,Columna
4435,Columna
6554,Columna
1362,Columna
8566,Columna
238,Columna
4127,Columna
1253,Columna
1704,Columna
78,Columna
9882,Columna
7717,Columna
9387,Columna
7457,Columna
5108,Columna
895,Columna
3849,Columna
2613,Columna
8218,Columna
4649,Columna
4927,Columna
2410,Columna
515,Columna
4739,Artículo de opinión
3300,Artículo de opinión
5931,Artículo de opinión
3648,Artículo de opinión
6815,Artículo de opinión
2432,Artículo de opinión
1770,Artículo de opinión
2586,Artículo de opinión
7577,Artículo de opinión
6203,Artículo de opinión
273,Artículo de opinión
763,Artículo de opinión
4904,Artículo de opinión
334,Artículo de opinión
4289,Artículo de opinión
7303,Artículo de opinión
1996,Artículo de opinión
217,Artículo de opinión
9785,Artículo de opinión
5485,Artículo de opinión
8577,Artículo de opinión
2837,Artículo de opinión
9514,Artículo de opinión
9613,Artículo de opinión
10028,Artículo de opinión
8389,Artículo de opinión
2004,Artículo de opinión
6830,Artículo de opinión
4806,Artículo de opinión
4398,Artículo de opinión
6989,Artículo de opinión
8635,Artículo de opinión
244,Artículo de opinión
1734,Artículo de opinión
2995,Artículo de opinión
3869,Artículo de opinión
2436,Artículo de opinión
3932,Artículo de opinión
2413,Artículo de opinión
9827,Artículo de opinión
8550,Artículo de opinión
8655,Artículo de opinión
8621,Artículo de opinión
9005,Artículo de opinión
3058,Artículo de opinión
2419,Artículo de opinión
9663,Artículo de opinión
5828,Artículo de opinión
7636,Artículo de opinión
698,Artículo de opinión
3860,Artículo de opinión
8821,Artículo de opinión
4923,Artículo de opinión
3961,Artículo de opinión
1301,Artículo de opinión
985,Artículo de opinión
5206,Artículo de opinión
9333,Artículo de opinión
6673,Artículo de opinión
83,Artículo de opinión
5542,Artículo de opinión
861,Artículo de opinión
7432,Artículo de opinión
2795,Artículo de opinión
3880,Artículo de opinión
1936,Artículo de opinión
1663,Artículo de opinión
5870,Artículo de opinión
248,Artículo de opinión
6644,Artículo de opinión
1870,Artículo de opinión
1130,Artículo de opinión
9475,Artículo de opinión
4055,Artículo de opinión
3645,Artículo de opinión
7912,Artículo de opinión
9354,Artículo de opinión
4528,Artículo de opinión
1551,Artículo de opinión
4015,Artículo de opinión
10271,Artículo de opinión
1285,Artículo de opinión
9188,Artículo de opinión
8543,Artículo de opinión
8885,Artículo de opinión
7502,Artículo de opinión
1214,Artículo de opinión
1033,Artículo de opinión
3496,Artículo de opinión
5101,Artículo de opinión
18,Artículo de opinión
842,Artículo de opinión
4146,Artículo de opinión
2626,Artículo de opinión
8276,Artículo de opinión
403,Artículo de opinión
3457,Artículo de opinión
2182,Artículo de opinión
3580,Artículo de opinión
117,Artículo de opinión
6709,Artículo de opinión
7797,Artículo de opinión
3063,Artículo de opinión
136,Artículo de opinión
6252,Artículo de opinión
3898,Artículo de opinión
531,Artículo de opinión
2943,Artículo de opinión
5529,Artículo de opinión
5745,Artículo de opinión
4782,Artículo de opinión
44,Artículo de opinión
1591,Artículo de opinión
8532,Artículo de opinión
5949,Artículo de opinión
1840,Artículo de opinión
592,Artículo de opinión
7603,Artículo de opinión
1550,Artículo de opinión
3260,Artículo de opinión
8490,Artículo de opinión
4185,Artículo de opinión
503,Artículo de opinión
4085,Artículo de opinión
7830,Artículo de opinión
3722,Artículo de opinión
2854,Artículo de opinión
2079,Artículo de opinión
6844,Artículo de opinión
1207,Artículo de opinión
10339,Artículo de opinión
1029,Artículo de opinión
328,Artículo de opinión
9624,Artículo de opinión
2996,Artículo de opinión
5381,Artículo de opinión
1578,Artículo de opinión
4440,Artículo de opinión
5689,Artículo de opinión
6137,Artículo de opinión
2420,Artículo de opinión
2431,Artículo de opinión
5397,Artículo de opinión
10424,Artículo de opinión
8533,Artículo de opinión
548,Artículo de opinión
9797,Artículo de opinión
2360,Artículo de opinión
3507,Artículo de opinión
4284,Artículo de opinión
1664,Artículo de opinión
10397,Artículo de opinión
1240,Artículo de opinión
262,Artículo de opinión
6353,Artículo de opinión
2160,Artículo de opinión
5287,Artículo de opinión
9105,Artículo de opinión
5932,Artículo de opinión
6515,Artículo de opinión
4165,Artículo de opinión
1576,Artículo de opinión
1312,Artículo de opinión
1061,Artículo de opinión
6690,Artículo de opinión
5118,Artículo de opinión
2452,Artículo de opinión
10171,Artículo de opinión
4013,Artículo de opinión
9504,Artículo de opinión
7563,Artículo de opinión
1731,Artículo de opinión
9483,Artículo de opinión
8450,Artículo de opinión
557,Artículo de opinión
2903,Artículo de opinión
8629,Artículo de opinión
4171,Artículo de opinión
1851,Artículo de opinión
8570,Artículo de opinión
8002,Artículo de opinión
5194,Artículo de opinión
8348,Artículo de opinión
3014,Artículo de opinión
5518,Artículo de opinión
9678,Artículo de opinión
2168,Artículo de opinión
295,Artículo de opinión
2206,Artículo de opinión
3483,Artículo de opinión
5540,Artículo de opinión
9124,Artículo de opinión
3446,Artículo de opinión
1639,Artículo de opinión
7851,Artículo de opinión
7149,Artículo de opinión
243,Artículo de opinión
8008,Artículo de opinión
9436,Artículo de opinión
2101,Artículo de opinión
3531,Artículo de opinión
4288,Artículo de opinión
4209,Artículo de opinión
4644,Artículo de opinión
5204,Artículo de opinión
2548,Artículo de opinión
968,Artículo de opinión
9115,Artículo de opinión
4290,Artículo de opinión
9919,Artículo de opinión
7725,Artículo de opinión
8964,Artículo de opinión
9245,Artículo de opinión
2055,Artículo de opinión
301,Artículo de opinión
7188,Artículo de opinión
9725,Artículo de opinión
10181,Artículo de opinión
2561,Artículo de opinión
2572,Artículo de opinión
8613,Artículo de opinión
9925,Artículo de opinión
2279,Artículo de opinión
1787,Carta al editor
7455,Carta al editor
8177,Carta al editor
6763,Carta al editor
3004,Carta al editor
1329,Carta al editor
3282,Carta al editor
4618,Carta al editor
9168,Carta al editor
