ID,Valores,Valores_codificados
8476,FAKE,0
10294,FAKE,0
3608,REAL,1
10142,FAKE,0
875,REAL,1
6903,FAKE,0
7341,FAKE,0
95,REAL,1
4869,REAL,1
2909,REAL,1
1357,REAL,1
988,REAL,1
7041,FAKE,0
7623,FAKE,0
1571,REAL,1
4739,REAL,1
7737,FAKE,0
8716,FAKE,0
3304,REAL,1
3078,REAL,1
2517,REAL,1
10348,FAKE,0
778,REAL,1
3300,REAL,1
6155,FAKE,0
636,REAL,1
755,REAL,1
626,REAL,1
691,REAL,1
5743,FAKE,0
1787,REAL,1
7808,FAKE,0
6484,FAKE,0
7385,FAKE,0
9016,FAKE,0
9324,FAKE,0
8983,FAKE,0
8965,FAKE,0
5580,FAKE,0
9757,FAKE,0
1967,REAL,1
431,REAL,1
5955,FAKE,0
7455,FAKE,0
5224,REAL,1
7793,FAKE,0
2777,REAL,1
587,REAL,1
9403,FAKE,0
5931,FAKE,0
3027,REAL,1
4377,REAL,1
5937,FAKE,0
7277,FAKE,0
5521,FAKE,0
3627,REAL,1
9360,FAKE,0
909,REAL,1
6646,FAKE,0
1522,REAL,1
7540,FAKE,0
1834,REAL,1
1775,REAL,1
8212,FAKE,0
3363,REAL,1
1084,REAL,1
4410,REAL,1
2669,REAL,1
3648,REAL,1
6197,FAKE,0
596,REAL,1
6061,FAKE,0
1569,REAL,1
1178,REAL,1
9545,FAKE,0
1506,REAL,1
1641,REAL,1
139,REAL,1
7744,FAKE,0
8177,FAKE,0
4134,REAL,1
917,REAL,1
3854,REAL,1
7049,FAKE,0
3343,REAL,1
4348,REAL,1
3424,REAL,1
1718,REAL,1
143,REAL,1
930,REAL,1
1661,REAL,1
7801,FAKE,0
10232,FAKE,0
1360,REAL,1
3635,REAL,1
8290,FAKE,0
6227,FAKE,0
3255,REAL,1
3177,REAL,1
2832,REAL,1
4294,REAL,1
5316,FAKE,0
1524,REAL,1
2974,REAL,1
3364,REAL,1
4933,REAL,1
5530,FAKE,0
7680,FAKE,0
10490,FAKE,0
9413,FAKE,0
4880,REAL,1
3512,REAL,1
8685,FAKE,0
6763,FAKE,0
7730,FAKE,0
2546,REAL,1
2596,REAL,1
7362,FAKE,0
7513,FAKE,0
1475,REAL,1
2232,REAL,1
6247,FAKE,0
127,REAL,1
6025,FAKE,0
10122,FAKE,0
4979,REAL,1
1700,REAL,1
9398,FAKE,0
10427,FAKE,0
7099,FAKE,0
4500,REAL,1
8013,FAKE,0
2199,REAL,1
4943,REAL,1
10092,FAKE,0
9121,FAKE,0
8122,FAKE,0
8988,FAKE,0
2115,REAL,1
8682,FAKE,0
6350,FAKE,0
4597,REAL,1
7818,FAKE,0
677,REAL,1
6408,FAKE,0
3004,REAL,1
8357,FAKE,0
10511,FAKE,0
8322,FAKE,0
6212,FAKE,0
172,REAL,1
6920,FAKE,0
9468,FAKE,0
6460,FAKE,0
5202,REAL,1
6809,FAKE,0
2802,REAL,1
1329,REAL,1
4114,REAL,1
6527,FAKE,0
4354,REAL,1
3138,REAL,1
9447,FAKE,0
7256,FAKE,0
421,REAL,1
7228,FAKE,0
2850,REAL,1
7628,FAKE,0
8918,FAKE,0
51,REAL,1
7711,FAKE,0
9295,FAKE,0
7474,FAKE,0
186,REAL,1
7661,FAKE,0
7443,FAKE,0
3700,REAL,1
8210,FAKE,0
5040,REAL,1
9756,FAKE,0
2305,REAL,1
2228,REAL,1
3008,REAL,1
6851,FAKE,0
3872,REAL,1
1884,REAL,1
4239,REAL,1
3282,REAL,1
9239,FAKE,0
4532,REAL,1
4130,REAL,1
6815,FAKE,0
599,REAL,1
4577,REAL,1
7154,FAKE,0
7757,FAKE,0
1934,REAL,1
9557,FAKE,0
5297,FAKE,0
5075,REAL,1
2076,REAL,1
8142,FAKE,0
4714,REAL,1
6176,FAKE,0
9402,FAKE,0
6948,FAKE,0
4911,REAL,1
9991,FAKE,0
10555,FAKE,0
8549,FAKE,0
2834,REAL,1
6035,FAKE,0
2281,REAL,1
9134,FAKE,0
6407,FAKE,0
1938,REAL,1
1255,REAL,1
4618,REAL,1
3602,REAL,1
6841,FAKE,0
8756,FAKE,0
5918,FAKE,0
384,REAL,1
4492,REAL,1
2432,REAL,1
5307,FAKE,0
8484,FAKE,0
9948,FAKE,0
2916,REAL,1
6058,FAKE,0
4713,REAL,1
8767,FAKE,0
4217,REAL,1
1770,REAL,1
9394,FAKE,0
8428,FAKE,0
3427,REAL,1
658,REAL,1
10357,FAKE,0
4865,REAL,1
4031,REAL,1
10257,FAKE,0
